pairID	promptID	sentence1	sentence2	gold_label	boolean	negation	spatial	temporal	causal	knowledge
4633	1545	For covert action, of course, the White House depended on the Counterterrorist Center and the CIA's Directorate of Operations.	The CIA was involved in some covert action requested by the White House.	entailment	1	-1	-1	-1	-1	-1
359	120	Then I get it and I'm like great, What do I do with it?	I don't know what I was supposed to use it for.	entailment	0	1	0	0	0	0
2775	925	Good-morning to you,  he said, and added  I've blundered badly, so I have.	He had wished him a good morning.	entailment	1	-1	-1	-1	-1	-1
4797	1599	The General Accounting Office looked into the gun story and was unable to corroborate it.	The General Accounting Office was unable to confirm the gun story.	entailment	1	-1	-1	-1	-1	-1
4441	1481	Would we not answer a phone call, not respond to a question, cancel a deposition, or not go to the library and research a case?	It is likely we would answer a phone call.	entailment	1	-1	-1	-1	-1	-1
5627	1876	It is critical that we educate Americans about the importance of Philanthropy that we develop a new generation of informed and committed leaders.	We should teach Americans about the importance of philanthropy.	entailment	0	-1	-1	-1	-1	-1
4224	1408	During the planning stages of an audit, auditors should communicate their responsibilities for testing and reporting on compliance with laws and regulations and internal control over financial reporting.	Auditors should talk.	entailment	0	-1	-1	-1	-1	-1
4905	1635	Whether the lack of coordination between the FDNY and NYPD on September 11 had a catastrophic effect has been the subject of controversy.	there was a lack of coordination between the FDNY and the NYPD on September 11.	entailment	0	-1	-1	-1	-1	-1
2349	783	And yet he has been what he has been and done what he has done in these last three years,  said she, but she said it sorrowfully now, without any of her earlier scorn.	She spoke in sad tones.	entailment	1	-1	-1	-1	-1	-1
3497	1166	Wander the decks and talk to the actors who play the parts of sailors and pilgrims.	The parts of sailor and pilgrims are filled by actors.	entailment	1	-1	-1	-1	-1	-1
4473	1491	Notices to opposing counsel and the court or administrative agency would have to be sent.	The opposing counsel and the court will receive notices.	entailment	1	-1	-1	-1	-1	-1
1202	401	oh yeah well some some places are good about sending them out by UPS or or other ways but	Some places will ship with UPS.	entailment	1	-1	0	0	0	1
2729	910	But many could not resolve one way or the other until they were satisfied upon several questions, and chiefly upon one which was voiced by Ogle.	Ogle had many concerns, of which had yet to be satiated.	entailment	1	-1	-1	-1	-1	-1
4970	1657	The terrorism fostered by Bin Ladin and al Qaeda was different from anything the government had faced before.	It was the first time the government had faced this type of terrorism.	entailment	1	-1	-1	-1	-1	-1
3293	1098	In horse-drawn carts you visit costumed villagers tilling and harvesting, sheep-shearing, grinding flour in the mill, weaving, and fashioning horseshoes in the smithy.	There are people dressed up in the village.	entailment	0	-1	-1	-1	-1	-1
4092	1364	The program's educational feedback encourages compliance and can act as a deterrent to future wrongdoing, as practitioners are aware that HIC tracks what is claimed for reimbursement on an annual basis.	Reimbursements are tracked every year by HIC.	entailment	1	-1	-1	-1	-1	-1
6366	2122	So what about a hybrid plan--subscriptions for heavy users, and micropayments for the rest?	They are considering payment plans for their users.	entailment	0	-1	-1	-1	-1	-1
5721	1907	Enclosed once again is a membership application form and a business reply envelope.	Here's a membership application you can fill out.	entailment	1	-1	-1	-1	-1	-1
4631	1544	Both Secretary Powell and Secretary Rumsfeld appear to have already been briefed on these topics by the DCI as well.	The DCI seem to have briefed both Powell and Rumsfeld already.	entailment	0	-1	-1	-1	-1	-1
3279	1093	The sea is reached only by narrow lanes and farm tracks, but it's worth a trek to get away from the crowds.	The sea has lanes  leading to it that aren't very wide.	entailment	1	-1	-1	-1	-1	-1
695	232	you know, and she's stuffing the petals up there and I didn't really know of any consequences.	I didn't know what would happen to her.	entailment	1	-1	0	0	0	0
5119	1707	The explosion killed six people, injured about 1,000 more, and exposed vulnerabilities in the World Trade Center's and the city's emergency preparedness.	Approximately one thousand people were injured in the explosion.	entailment	1	-1	-1	-1	-1	-1
76	26	She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	As she told him to come up the porch she had tears in her eyes.	entailment	1	-1	0	0	0	0
5644	1882	Last year, more than 48,000 New York State children were abused and neglected -injured, molested, emotionally abused, denied adequate care and supervision.	More than 48,000 children in New York State were abused and neglected last year.	entailment	1	-1	-1	-1	-1	-1
